http://dbpedia.org/resource/Abducens_nerve	Abducens nerve	A08.800.800.120.030	The abducens nerve or abducent nerve (the sixth cranial nerve, also called the sixth nerve or simply VI) is a somatic efferent nerve that controls the movement of a single muscle, the lateral rectus muscle of the eye, in humans. In most other mammals it also innervates the musculus retractor bulbi, which can retract the eye for protection. Homologous abducens nerves are found in all vertebrates except lampreys and hagfishes. The human CN VI is derived from the basal plate of the embryonic pons.
http://dbpedia.org/resource/Accessory_nerve	Accessory nerve	A08.800.800.120.060	In anatomy, the accessory nerve is a nerve that controls specific muscles of the shoulder and neck. As part of it was formerly believed to originate in the brain, it is considered a cranial nerve. Based on its location relative to other such nerves, it is designated the eleventh of twelve cranial nerves, and is thus abbreviated CN XI. Traditional descriptions of the accessory nerve divide it into two parts: a spinal part and a cranial part. But because the cranial component rapidly joins the vagus nerve and serves the same function as other vagal nerve fibers, modern descriptions often consider the cranial component part of the vagus nerve and not part of the accessory nerve proper. Thus in contemporary discussions of the accessory nerve, the common practice is to dismiss the cranial part altogether, referring to the accessory nerve specifically as the spinal accessory nerve. The spinal accessory nerve provides motor innervation from the central nervous system to two muscles of the neck: the sternocleidomastoid muscle and the trapezius muscle. The sternocleidomastoid muscle tilts and rotates the head, while the trapezius muscle has several actions on the scapula, including shoulder elevation and adduction of the scapula. Range of motion and strength testing of the neck and shoulders can be measured during a neurological examination to assess function of the spinal accessory nerve. Limited range of motion or poor muscle strength are suggestive of damage to the spinal accessory nerve, which can result from a variety of causes. Injury to the spinal accessory nerve is most commonly caused by medical procedures that involve the head and neck. The accessory nerve is derived from the basal plate of the embryonic spinal segments C1â€“C6.
http://dbpedia.org/resource/Acetabulum	Acetabulum of pelvis	A02.835.232.611.108	The acetabulum is a concave surface of the pelvis. The head of the femur meets with the pelvis at the acetabulum, forming the hip joint.
http://dbpedia.org/resource/Blastocyst	Blastocyst	A16.254.085	The blastocyst is a structure formed in the early gestation of vertebrates. It is preceded by the morula. It possesses an inner cell mass (ICM), or embryoblast, which subsequently forms the embryo, and an outer layer of cells, or trophoblast, surrounding the inner cell mass and a fluid-filled cavity known as the blastocoele. The human blastocyst comprises 70-100 cells. Blastocyst formation begins at day 5 after fertilization in humans.
http://dbpedia.org/resource/Central_retinal_artery	Central retinal artery	A07.231.114.765	The central retinal artery (retinal artery) branches off the ophthalmic artery, running inferior to the optic nerve within its dural sheath to the eyeball.
http://dbpedia.org/resource/Chorda_tympani	Chorda tympani	A08.800.800.120.250.120	The chorda tympani is a nerve that branches from the facial nerve (cranial nerve VII) inside the facial canal, just before the facial nerve exits the skull via the stylomastoid foramen. It serves the taste buds in the front of the tongue, runs through the middle ear, and carries taste messages to the brain. The chorda tympani is part of one of three cranial nerves that are involved in taste. The taste system involves a complicated feedback loop, with each nerve acting to inhibit the signals of other nerves. The chorda tympani appears to exert a particularly strong inhibitory influence on other taste nerves, as well as on pain fibers in the tongue. When the chorda tympani is damaged, its inhibitory function is disrupted, leading to less inhibited activity in the other nerves.
http://dbpedia.org/resource/Choroid_plexus	Choroid plexus	A08.186.211.276.298	The choroid plexus is a structure in the ventricles of the brain where cerebrospinal fluid (CSF) is produced. The choroid plexus consists of modified ependymal cells. It should be noted that CSF is recycled (flushed) 4 times per day in order to clean out metabolites and toxins like beta amyloid. Hence the choroid plexus must produce about 500 milliliters of CSF daily (or 20.83 ml per hour).
http://dbpedia.org/resource/Cingulate_cortex	Cingulate cortex	A08.186.211.577.330	The cingulate cortex is a part of the brain situated in the medial aspect of the cortex. It includes the cortex of the cingulate gyrus, which lies immediately above the corpus callosum, and the continuation of this in the cingulate sulcus. The cingulate cortex is usually considered part of the limbic lobe. It receives inputs from the thalamus and the neocortex, and projects to the entorhinal cortex via the cingulum. It is an integral part of the limbic system, which is involved with emotion formation and processing, learning, and memory. The combination of these three functions makes the cingulate gyrus highly influential in linking behavioral outcomes to motivation (e.g. a certain action induced a positive emotional response, which results in learning). This role makes the cingulate cortex highly important in disorders such as depression and schizophrenia. It also plays a role in executive function and respiratory control.
http://dbpedia.org/resource/Circle_of_Willis	Circle of Willis	A07.231.114.228.351	The Circle of Willis (also called Willis' Circle, Loop of Willis, cerebral arterial circle, and Willis Polygon) is a circulatory anastomosis that supplies blood to the brain and surrounding structures. It is named after Thomas Willis (1621â€“1675), an English physician.
http://dbpedia.org/resource/Claustrum	Claustrum	A08.186.211.730.885.105	The claustrum is a thin, irregular, sheet of neurons which is attached to the underside of the neocortex in the center of the brain. It is suspected to be present in the brains of all mammals. The claustrum is a fraction of a millimetre to a few millimetres deep, and is a vertical curved sheet of subcortical gray matter oriented sagittally between the white matter tracts of the external capsule and extreme capsule. The claustrum is lateral to the putamen and medial to the insular cortex and is considered by some sources to be part of the basal ganglia. There are lateral and medial tracts connecting the claustrum to many parts of the cortex and perhaps to the hippocampus, the amygdala, and the caudate nucleus (connections with subcortical centers are a matter of debate). One of the interesting features of the claustrum is the uniformity in the types of cells, indicating a uniform type of processing by all claustral neurons. Though organized into modality specific regions, the claustrum contains a great deal of longitudinal connections between its neurons that could serve to synchronize the entire anterior-posterior extent of the claustrum. Francis Crick and Christof Koch have compared the claustrum to the conductor of an orchestra. The different parts of the cortex must play in harmony or else the result is a cacophony of sounds instead of a beautiful symphony. The claustrum may be involved in widespread coordination of the cerebral cortex, using synchronization to achieve a seamless timescale between both the two cortical hemispheres and between cortical regions within the same hemisphere, resulting in the seamless quality of conscious experience.
