http://dbpedia.org/resource/Brainwave_entrainment	Brainwave entrainment	"Brainwave entrainment or ""brainwave synchronization,"" is any practice that aims to cause brainwave frequencies to fall into step with a periodic stimulus having a frequency corresponding to the intended brain-state (for example, to induce sleep), usually attempted with the use of specialized software. It purportedly depends upon a ""frequency following"" response on the assumption that the human brain has a tendency to change its dominant EEG frequency towards the frequency of a dominant external stimulus. Such a stimulus is often aural, as in the case of binaural or monaural beats and isochronic tones, or else visual, as with a dreamachine, a combination of the two with a mind machine, or even electromagnetic radiation."
http://dbpedia.org/resource/Neurofeedback	Neurofeedback	Neurofeedback (NFB), also called neurotherapy, neurobiofeedback or EEG biofeedback is a type of biofeedback that uses realtime displays of electroencephalography or functional magnetic resonance imaging (fMRI) to illustrate brain activity, often with a goal of controlling central nervous system activity. Sensors are placed on the scalp to measure activity, with measurements displayed using video displays or sound.
http://dbpedia.org/resource/Predictive_value_of_tests	Predictive value of tests	"Predictive value of tests is the probability of a target condition (for example a disease) given by the result of a test, often in regard to medical tests. In cases where binary classification can be applied to the test results, such yes versus no, test target (such as a substance, symptom or sign) being present versus absent, or either a positive or negative test), then each of the two outcomes has a separate predictive value. For example, for positive or negative test, the predictive values are termed positive predictive value or negative predictive value, respectively. In cases where the test result is of a continuous value, the predictive value generally changes continuously along with the value. For example, for a pregnancy test that displays the urine concentration of hCG, the predictive value increases with increasing hCG value. A conversion of continuous values into binary values can be performed, such as designating a pregnancy test as ""positive"" above a certain cutoff value, but this confers a loss of information and generally results in less accurate predictive values."
http://dbpedia.org/resource/Magnetoencephalography	Magnetoencephalography	Magnetoencephalography (MEG) is a technique for mapping brain activity by recording magnetic fields produced by electrical currents occurring naturally in the brain, using very sensitive magnetometers. Arrays of SQUIDs (superconducting quantum interference devices) are currently the most common magnetometer, and SERF being investigated for future machines. Applications of MEG include basic research into perceptual and cognitive brain processes, localizing regions affected by pathology before surgical removal, determining the function of various parts of the brain, and neurofeedback.
http://dbpedia.org/resource/Endoluminal_capsule_monitoring	Endoluminal capsule monitoring	Endoluminal capsule monitoring is a non-invasive medical diagnostic procedure which uses a miniaturized wireless radio transmitter embedded into an ingestible water-tight capsule. The patient ingests the capsule and while it transits through the gastrointestinal system, it sends signals to the outside, which are captured by a radio receiver, processed, displayed and stored in a computer. According to the type or type(s) of biomedical sensors which are built into the capsule, several physiological parameters can be measured and transmitted by the capsule: intraluminal pH in the esophagus, stomach and duodenum intestinal motility intraluminal pressure Other Modern capsules, called video pills or endoscopic capsules can also transmit endoscopic images from a miniature video camera. The system is normally used for research purposes or for diagnosing long term changes in gastrointestinal physiological parameters. The capsule is recovered in the feces, sterilized and can be used again.
http://dbpedia.org/resource/Porges-Meier_reaction	Porges-Meier reaction	Porges-Meier reaction is a precipitation test used in the diagnosis of syphilis. It is an early flocculation test for syphilis. Precipitate formation takes place in a serum by the addition of a solution of sodium glycocholate. This reaction, according to Otto Porges, only occur in syphilis. Reference:
http://dbpedia.org/resource/Rapid_urease_test	Rapid urease test	Rapid urease test, also known as the CLO test (Campylobacter-like organism test), is a rapid test for diagnosis of Helicobacter pylori. The basis of the test is the ability of H. pylori to secrete the urease enzyme, which catalyzes the conversion of urea to ammonia and carbon dioxide.
http://dbpedia.org/resource/Structured_light_plethysmography	Structured light plethysmography	Structured Light Plethysmography (SLP) technology utilises pc gaming/movie techniques to scan a patient with visible light, capture an image, measure movement in the image and produce accurate, real time data on changes in respiration. A checker board pattern of light is projected from a light projector onto the chest of an individual. Movements of the grid are viewed by two digital cameras, digitalised, and processed to form a 3D model and can be interrogated to assess lung function. The system has been tested on over 70 adults (data presented at clinical meetings). SLP is simple to use, accurate and cost effective, is self-calibrating and does not require the use of plastic consumables, reducing cost, risk of cross infection and the devices carbon footprint. In conjunction with the Cambridge Veterinary School, proof of concept studies have indicated that the device is sensitive enough to non invasively pick up respiratory movements in domestic animals. A totally â€œnon-invasiveâ€ﾝ technique using structured light to measure pulmonary function was developed as long ago as the mid-1980s by a London group at the Royal Brompton Hospital working in close association with IBM (1-4). The technique utilised the distortion with movement of a structured pattern of light to calculate a volume or change in volume of a textured surface. At that time structured light pattern was shone on to the anterior chest and abdominal wall surfaces, and movie camera film footage was taken and sent to IBM for processing. The digital information was used to compute automatically the volume of the trunk and the position of any point on its surface and its cross-sectional shape at any level. The group found that linear dimensions could be calculated to within 0.5mm and a cross-sectional area within 5% and volume within 3-7%. The group suggested that non-invasive technique measurements were of sufficient accuracy to be tried in clinical practice. However, probably due to technology limitations, data processing and storage the methodology was never commercialised. Independently the Royal Brompton group of the 1980s, a Cambridge (UK) consortium of clinicians and engineers developed a system in 2009 that has revisited structure light pattern as a non invasive method for collecting accurate representations of chest and abdominal wall movement. The methodology has several advantages: there are no fluorescent markers required to define chest or abdominal surface and the hardware can be minimalized to 2 digital cameras and a digital projector when imaging the anterior surface of the body. The projector shines a grid of black and white squares from superior iliac crest to clavicle; the subject can wear a plain t-shirt of any colour. The 2 digital cameras image the grid on chest and abdomen and the software extracts 2 sets of 2D image positions of the grid points and stereo vision is used to reconstruct these grid points to form a 3D representation of the chest and abdominal wall surface. The group has tried anything from one grid point to 2000 and is current working on roughly 200 to 300. The thoracic volume is calculated from the volume beneath the reconstructed virtual surface and can be plotted in real time. Calibration is internal: the relative position of cameras and shape of the subject is auto-calibrated at reconstruction time; and externally by placing an object of reference size in front of the cameras. This can be a sheet of paper of known size and potentially has now been transferred to projected points within the grid itself. The group have now collected data on up to 70 adults and 5 children and have also collected data from small mammals. They have compared simultaneous measurements of tidal breathing followed by full inspiration and force expiration by Pneumatac and SLP. The Pneumatac data was obtained using a laptop based spirometer and exported for analysis using J-scope software. Extremely good correlations have been obtained from tidal breaching and forced expiration manoeuvres. Tidal breathing correlations have shown to be 0.99 for individual data sets and for n=70 the mean correlation was 0.92 at an SD of 0.04. For forced expiration the correlation was shown to be 0.98, n=70 mean correlation was 0.98 with an SD of 0.12. For forced expirations inspiratory manoeuvres correlation coefficients for peak flow were rÂ² 0.84, FEV1 0.95, FEF75 0.76 and FEF50 0.69.
http://dbpedia.org/resource/BASFI	BASFI	"The Bath Ankylosing Spondylitis Functional Index was named for the location of the institution where authors G. Calin and co-workers developed this validated index to determine the degree of functional limitation in patients with the inflammatory autoimmune disease Ankylosing Spondylitis (AS). These researchers recognized that although treatment for AS is focused on pain control and the improvement of function, the available methods of assessing function were not specific to AS and were inadequately validated. In their seminal 1994 publication, Calin and his associates stated that ""after pain and stiffness (measured by the BASDAI test), one of the most important complaints of patients with AS is disability. ""(Calin et al. , 1994, p 2281). The ten questions that comprise the BASFI were chosen with input from patients with AS. The first 8 questions evaluate activities related to functional anatomical limitations due to the course of this inflammatory disease. The final 2 questions evaluate the patientsâ€™ ability to cope with everyday life."
http://dbpedia.org/resource/Tissue_typing	Tissue typing	"Tissue typing is a procedure in which the tissues of a prospective donor and recipient are tested for compatibility prior to transplantation. An embryo can be tissue typed to ensure that the embryo implanted can be a cord-blood stem cell donor for a sick sibling. One technique of tissue typing, ""mixed leukocyte reaction"", is performed by culturing lymphocytes from the donor together with those from the recipient. Another technique, known as a micro-cytotoxicity assay, utilizes serum with known anti-HLA antibodies that recognize particular HLA loci (HLA-A, HLA-B, HLA-C, HLA-DP, HLA-DQ, HLA-DR) in order to match genetically similar individuals in hopes of performing a tissue transplantation. In this technique a donor's blood cells are MHC typed by mixing them with serum containing the anti-HLA antibodies. If the antibodies recognize their epitope on the MHC then complement activation occurs and the cell will be osmotically lysed. Lysis results in the cell taking up a dye. This allows identification of cell's MHC indirectly based on the specificity of the known antibodies in the serum."
